Group1,Group2,p-value,Metric,Test,Statistic,Significance,Significance Level
20,30,1.0,F1-score,Dunn Posthoc Test,,No,0.002
30,30,1.0,F1-score,Dunn Posthoc Test,,No,0.002
5,5,1.0,Specificity,Dunn Posthoc Test,,No,0.002
10,5,1.0,Specificity,Dunn Posthoc Test,,No,0.002
15,5,1.0,Specificity,Dunn Posthoc Test,,No,0.002
20,5,0.3144373454589236,Specificity,Dunn Posthoc Test,,No,0.002
30,5,0.015383197232882105,Specificity,Dunn Posthoc Test,,No,0.002
5,10,1.0,Specificity,Dunn Posthoc Test,,No,0.002
10,10,1.0,Specificity,Dunn Posthoc Test,,No,0.002
15,10,0.9426430684121028,Specificity,Dunn Posthoc Test,,No,0.002
20,10,1.0,Specificity,Dunn Posthoc Test,,No,0.002
30,10,0.6393908930754382,Specificity,Dunn Posthoc Test,,No,0.002
5,15,1.0,Specificity,Dunn Posthoc Test,,No,0.002
10,15,0.9426430684121028,Specificity,Dunn Posthoc Test,,No,0.002
15,15,1.0,Specificity,Dunn Posthoc Test,,No,0.002
20,15,0.12073797243122887,Specificity,Dunn Posthoc Test,,No,0.002
30,15,0.00422007420555129,Specificity,Dunn Posthoc Test,,No,0.002
5,20,0.3144373454589236,Specificity,Dunn Posthoc Test,,No,0.002
10,20,1.0,Specificity,Dunn Posthoc Test,,No,0.002
15,20,0.12073797243122887,Specificity,Dunn Posthoc Test,,No,0.002
20,20,1.0,Specificity,Dunn Posthoc Test,,No,0.002
30,20,1.0,Specificity,Dunn Posthoc Test,,No,0.002
5,30,0.015383197232882105,Specificity,Dunn Posthoc Test,,No,0.002
10,30,0.6393908930754382,Specificity,Dunn Posthoc Test,,No,0.002
15,30,0.00422007420555129,Specificity,Dunn Posthoc Test,,No,0.002
20,30,1.0,Specificity,Dunn Posthoc Test,,No,0.002
30,30,1.0,Specificity,Dunn Posthoc Test,,No,0.002
5,5,1.0,Loss,Dunn Posthoc Test,,No,0.002
10,5,0.7003909476349932,Loss,Dunn Posthoc Test,,No,0.002
15,5,0.6650065407382308,Loss,Dunn Posthoc Test,,No,0.002
20,5,1.0,Loss,Dunn Posthoc Test,,No,0.002
30,5,1.8537185016252138e-05,Loss,Dunn Posthoc Test,,Yes,0.002
5,10,0.7003909476349932,Loss,Dunn Posthoc Test,,No,0.002
10,10,1.0,Loss,Dunn Posthoc Test,,No,0.002
15,10,1.0,Loss,Dunn Posthoc Test,,No,0.002
20,10,1.0,Loss,Dunn Posthoc Test,,No,0.002
30,10,0.031055445256737216,Loss,Dunn Posthoc Test,,No,0.002
5,15,0.6650065407382308,Loss,Dunn Posthoc Test,,No,0.002
10,15,1.0,Loss,Dunn Posthoc Test,,No,0.002
15,15,1.0,Loss,Dunn Posthoc Test,,No,0.002
20,15,1.0,Loss,Dunn Posthoc Test,,No,0.002
30,15,0.033492970368415996,Loss,Dunn Posthoc Test,,No,0.002
5,20,1.0,Loss,Dunn Posthoc Test,,No,0.002
10,20,1.0,Loss,Dunn Posthoc Test,,No,0.002
15,20,1.0,Loss,Dunn Posthoc Test,,No,0.002
20,20,1.0,Loss,Dunn Posthoc Test,,No,0.002
30,20,0.002538146745225049,Loss,Dunn Posthoc Test,,No,0.002
