Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity,SynFlow
"[6, 44, 4, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 4, 311, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6948180615901947,0.5,0.4997272231314784,0.6018396846254928,0.5460506706408346,0.3975032851511169,525.4214932071045
"[6, 35, 4, 0, 4, 440, 0, 0, 4, 274, 0, 0, 7, 0, 0, 0, 0, 28, 1, 0, 4, 129, 0, 0, 7, 0, 0, 0, 0, 7, 1, 0, 0, 26, 0, 0, 3, 0, 0, 0, 0, 9, 0, 0, 1, 9, 0, 0]",0.6935724496841431,0.5,0.504,0.4967148488830486,0.500330906684315,0.5111695137976346,0.01952791547103061
"[4, 58, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 1, 4, 0, 0, 6, 53, 4, 0, 2, 1, 0, 0, 7, 0, 0, 0, 0, 4, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0]",0.6932323157787323,0.5,0.4948826008428657,0.5400788436268068,0.5164938737040528,0.4487516425755585,0.11500055875512771
"[0, 5, 0, 0, 1, 5, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 6, 35, 3, 0, 3, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 8, 3, 2, 0, 7, 0, 0, 0, 8, 2, 1, 0]",0.7026832699775696,0.5,0.5157773952954676,0.5906701708278581,0.5506891271056662,0.4454664914586071,13.215847935527563
"[3, 0, 0, 0, 2, 0, 0, 0, 6, 31, 4, 0, 8, 2, 2, 0, 3, 0, 0, 0, 1, 4, 0, 0, 8, 1, 2, 0, 8, 2, 1, 0, 7, 0, 0, 0, 1, 4, 0, 0, 8, 2, 1, 0, 8, 2, 1, 0]",0.7039122104644775,0.5,0.4952830188679245,0.4829172141918528,0.4890219560878243,0.5078843626806833,172.13789718365297
"[0, 9, 0, 0, 0, 8, 1, 0, 6, 20, 4, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 8, 2, 2, 0, 0, 11, 0, 0, 8, 3, 1, 0, 2, 0, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0]",0.6932541489601135,0.5,0.5007930214115781,0.8298291721419185,0.6246290801186943,0.1727989487516426,2.658941798028536
"[0, 8, 0, 0, 7, 0, 0, 0, 0, 4, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 4, 26, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 4, 379, 0, 0]",0.6936547100543976,0.5,0.4988104678826328,0.8265440210249672,0.6221562809099901,0.1695137976346911,0.03803485259049921
"[7, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 6, 7, 4, 0, 1, 7, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0]",0.7026687443256379,0.5,0.4736434108527131,0.4014454664914586,0.4345661450924609,0.5538764783180026,174.96564769675024
"[0, 26, 0, 0, 1, 26, 0, 0, 6, 40, 4, 0, 7, 0, 0, 0, 0, 4, 0, 0, 0, 21, 1, 0, 1, 21, 0, 0, 8, 1, 2, 0, 3, 0, 0, 0, 2, 0, 0, 0, 4, 168, 0, 0, 2, 0, 0, 0]",0.6953424632549285,0.5,0.5099191770756797,0.4559789750328515,0.4814429413805064,0.561760840998686,0.30284587253640893
"[1, 4, 0, 0, 5, 0, 0, 0, 4, 370, 0, 0, 7, 0, 0, 0, 8, 1, 2, 0, 7, 0, 0, 0, 8, 2, 1, 0, 1, 4, 0, 0, 8, 3, 2, 0, 4, 142, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]",0.6937728762626648,0.5,0.4994285714285714,0.5742444152431012,0.5342298288508558,0.4244415243101183,0.0
"[0, 6, 0, 0, 6, 54, 1, 0, 0, 15, 1, 0, 2, 0, 0, 0, 7, 0, 0, 0, 4, 345, 0, 0, 4, 489, 0, 0, 8, 3, 1, 0, 0, 18, 0, 0, 0, 26, 1, 0, 0, 27, 0, 0, 3, 0, 0, 0]",0.6932155966758728,0.5,0.5047581284694687,0.8363994743758213,0.6295746785361028,0.1793692509855453,2.2907888707431994
"[8, 0, 1, 0, 1, 4, 0, 0, 3, 0, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 3, 0, 0, 0, 6, 57, 1, 0, 2, 1, 0, 0, 8, 3, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.7074317872524262,0.5,0.5078636959370905,0.5091984231274639,0.5085301837270341,0.5065703022339028,26.693449188023806
"[8, 0, 2, 0, 3, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 4, 181, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 4, 316, 0, 0, 1, 4, 0, 0, 4, 35, 0, 0]",0.6936866760253906,0.5,0.498,0.4908015768725361,0.4943745863666446,0.5052562417871223,1.4887389801715472
"[7, 0, 0, 0, 4, 349, 0, 0, 0, 30, 1, 0, 7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 1, 4, 0, 0, 8, 1, 1, 0, 6, 43, 4, 0, 3, 0, 0, 0, 2, 0, 0, 0, 8, 1, 2, 0]",0.6949788808822632,0.5,0.4931950745301361,0.5,0.4965742251223491,0.4862023653088042,1.1112739270502061
"[0, 9, 1, 0, 7, 0, 0, 0, 6, 48, 4, 0, 7, 0, 0, 0, 8, 1, 2, 0, 0, 9, 0, 0, 1, 9, 0, 0, 7, 0, 0, 0, 0, 13, 0, 0, 7, 0, 0, 0, 0, 15, 0, 0, 7, 0, 0, 0]",0.6929327487945557,0.5,0.5163727959697733,0.5387647831800263,0.5273311897106109,0.495400788436268,3.0462311289738864
"[6, 35, 4, 0, 7, 0, 0, 0, 8, 1, 1, 0, 2, 1, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 0, 6, 1, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0]",0.6932017087936402,0.5,0.507783543365456,0.450065703022339,0.4771856495994427,0.5637319316688568,0.017129773084889166
"[4, 289, 0, 0, 1, 4, 0, 0, 0, 7, 1, 0, 7, 0, 0, 0, 0, 29, 0, 0, 5, 0, 0, 0, 4, 35, 0, 0, 1, 4, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 8, 1, 2, 0, 3, 0, 0, 0]",0.6931764304637908,0.5,0.4948400412796697,0.6300919842312747,0.554335260115607,0.3567674113009198,0.0
"[7, 0, 0, 0, 3, 0, 0, 0, 8, 1, 1, 0, 0, 23, 0, 0, 3, 0, 0, 0, 4, 432, 0, 0, 1, 4, 0, 0, 6, 43, 4, 0, 3, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0]",0.6952362537384034,0.5,0.4971680302076778,0.519053876478318,0.507875281260045,0.4750328515111695,221.12050956161693
